振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
小笠原電装,4・11・8,5・5・31,,,"607,393",,
小笠原電装,4・12・8,5・6・30,,,"565,728",,
,4・12・12,5・4・4,,,"244,090",,
仙北電装,4・12・15,5・5・31,,,"522,295",,
小笠源電装,5・1・11,5・7・31,,,"1,219,686",,
,5・1・16,5・5・3,,,"163,999",,
弘前バッテリー社,5・1・19,5・5・31,,,"236,959",,
河田電機,5・1・20,5・5・10,,,"800,000",,
仙北電装,5・1・20,5・6・30,,,"797,101",,
アサノ電装,5・1・20,5・4・30,,,"1,349,982",,
佐藤電機工業,5・1・20,5・4・30,,,"437,895",,
青森ユアサ電池販売,5・1・21,5・5・10,,,"214,273",,
三菱ふそうトラックバスアルト,5・1・24,5・5・19,,,"305,800",,
羽田電機工業所,5・1・31,5・5・31,,,"1,572,548",,
石井電装サービス,5・2・1,5・5・1,,,"102,308",,
守友電装,5・2・10,5・5・31,,,"378,997",,
藤建販,5・2・10,5・6・30,,,"173,764",,
,5・2・13,5・6・2,,,"169,381",,
仙北電装,5・2・15,5・7・31,,,"399,872",,
岩手自動車電機,5・2・16,5・5・20,,,"654,850",,
河田電機,5・2・20,5・6・01,,,"200,000",,
弘前バッテリー社,5・2・20,5・6・30,,,"421,149",,
アサノ電装,5・2・20,5・5・31,,,"968,772",,
計,,,,,,,
