振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
共和コンクリート工業(株),4・9・30,5・2・5,みずほ銀行,札幌支店,"1,807,135",,
工藤コンクリート工業(株),4・9・30,5・2・10,きらやか銀行,谷地支店,"992,882",,
手持手形計,,,,,"45,618,067",,
新興ランデック(株),4・6・5,4・10・10,東邦銀行,平野支店,"2,000,000",秋田新産線材,
阿部コンクリート(株),4・6・15,4・10・15,きらやか銀行,余目支店,"2,652,342",豊興,
新興ランデック(株),4・7・5,4・11・10,東邦銀行,平野支店,"3,000,000",秋田新産線材,
同上,4・7・5,4・11・10,同上,同上,"116,718",豊興,
(株)米沢マエタ,4・7・20,4・11・30,荘内銀行,酒田中央支店,"415,353",清野モータース,
(株)手塚建材,4・7・31,4・12・10,山形中央信用組合,本店営業部,"329,046",,豊興
沼田建設(株),4・8・1,4・9・30,山形銀行,新庄支店,"840,000",マキテック,
(株)畑山,4・8・1,4・11・30,鶴岡信金,若竹町支店,"442,340",豊興,
新興ランデック(株),4・8・5,4・12・10,東邦銀行,平野支店,"2,500,000",マキテック,
同上,4・8・5,4・12・10,同上,同上,"2,500,000",秋田新産線材,
同上,4・8・5,4・12・10,同上,同上,"1,682,533",豊興,
村山建設(株),4・8・31,4・12・10,きらやか銀行,宮宿支店,"610,000",同上,
工藤コンクリート工業(株),4・8・31,5・1・10,同上,谷地支店,"863,060",マキテック,
新興ランデック(株),4・9・5,5・1・10,東邦銀行,平野支店,"4,304,730",秋田新産線材,
裏書手形計,,,,,"22,256,122",,
小計,,,,,"25,056,139",,
合計,,,,,"188,316,432",,
