"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"日本産業資材(株)","令5.6.30","令5.10.31","兵庫信金","大久保支店","478720","",""
"日本産業資材(株)","令5.7.31","令5.11.30","兵庫信金","大久保支店","957440","",""
"日本産業資材(株)","令5.8.31","令5.12.31","兵庫信金","大久保支店","957440","",""
"","","手持手形計","","","2393600","",""
"戎屋化学工業(株)","令5.5.20","令5.9.20","","","8382680","",""
"紀伊産業(株)","令5.5.31","令5.9.30","","","3125362","",""
"戎屋化学工業(株)","令5.6.20","令5.10.20","","","6629972","",""
"紀伊産業(株)","令5.6.26","令5.10.31","","","2803476","",""
"太栄産業(株)","令5.7.15","令5.11.10","","","208560","",""
"戎屋化学工業(株)","令5.7.20","令5.11.20","","","8601111","",""
"紀伊産業(株)","令5.7.31","令5.11.30","","","2756256","",""
"戎屋化学工業(株)","令5.8.20","令5.12.20","","","7622333","",""
"紀伊産業(株)","令5.8.31","令5.12.31","","","2910684","",""
"","","電子債権計","","","43040434","",""
"計","","","","","45434034","",""
