"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"000022(株)共栄鍛工所","R5.1.16","R5.5.5","第四北越銀行","","2810906","","HZ14098"
"〃","R5.2.15","R5.6.5","第四北越銀行","","2370476","","HZ14126"
"〃","R5.2.15","R5.6.5","第四北越銀行","","3000000","","HZ14127"
"〃","R5.3.15","R5.7.5","第四北越銀行","","5000000","","HZ14165"
"〃","R5.3.15","R5.7.5","第四北越銀行","","517577","","HZ14166"
"000047テイワイ産業(株)","R4.12.31","R5.5.10","群馬銀行","","429000","","L650588"
"〃","R5.1.31","R5.6.10","群馬銀行","","429000","","L650594"
"〃","R5.2.28","R5.7.10","群馬銀行","","429000","","M659952"
"〃","R4.11.30","R5.4.10","第四北越銀行","","448536","","L650581"
"000050ザーレンコーポレーション(株)","R4.12.20","R5.4.30","三井住友銀行","","736406","","SZ281770"
"R5計","","","","","16170901","",""
"計","","","","","16170901","",""
