"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"富士印刷(株)","令4・11・24","令5・4・10","","","344520","",""
"トーイン(株)","令4・12・29","令5・4・17","","","1006448","",""
"丸金印刷(株)","令5・1・17","令5・4・21","","","209660","",""
"ジェイワークス(株)","令5・1・10","令5・4・30","","","10000000","",""
"ジェイワークス(株)","令5・1・10","令5・4・30","","","5000000","",""
"ジェイワークス(株)","令5・1・10","令5・4・30","","","18542","",""
"アイパックスイケタニ(株)","令4・12・13","令5・4・30","","","231672","",""
"(株)フクイ","令5・1・11","令5・4・30","","","10000000","",""
"トーイン(株)","令5・1・30","令5・5・17","","","658174","",""
"アイパックスイケタニ(株)","令5・1・12","令5・5・31","","","218592","",""
"ジェイワークス(株)","令5・2・13","令5・5・31","","","9939156","",""
"(株)フクイ","令5・2・7","令5・5・31","","","5000000","",""
"(株)コージー本舗","令5・2・10","令5・6・3","","","139150","",""
"丸金印刷(株)","令5・2・16","令5・5・21","","","582120","",""
"丸金印刷(株)","令5・3・16","令5・6・21","","","370865","",""
"ジェイワークス(株)","令5・3・13","令5・6・30","","","16049866","",""
"(株)フクイ","令5・3・7","令5・6・30","","","5000000","",""
"トーイン(株)","令5・3・30","令5・7・17","","","107800","",""
"計","","","","","64876565","",""
