ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250724151803190,1,1,001,000327,202507,,,磯貝鋲螺工業(株),磯貝鋲螺工業(株),2132,30,30,20,5.1.31,5.1.31,5.5.31,5.5.31,みずほ銀行,みずほ銀行,,みずほ銀行,みずほ銀行,20250501184153000,20250501184153000,木田精工(株),木田精工(株),,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250724151803190,1,2,001,000327,202507,,,若井ホールディングス(株),若井ホールディングス(株),2108,30,30,20,5.2.2,5.2.2,5.6.20,5.6.20,三菱UFJ銀行,三菱UFJ銀行,,三菱UFJ銀行,三菱UFJ銀行,20250501184153000,20250501184153000,(有)萬善鍍金,(有)萬善鍍金,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250724151803190,1,3,001,000327,202507,,,藤田螺子工業(株),藤田螺子工業(株),2898,30,30,20,5.2.9,5.2.9,5.6.10,5.6.10,同上,同上,,同上,同上,20250501184153000,20250501184153000,サカモト工業(株),サカモト工業(株),,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250724151803190,1,4,001,000327,202507,,,ファスナー工業,ファスナー工業,2903,30,30,20,5.2.24,5.2.24,5.6.30,5.6.30,城南信用金庫,城南信用金庫,,城南信用金庫,城南信用金庫,20250501184153000,20250501184153000,(株)中村機工,(株)中村機工,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250724151803190,1,5,001,000327,202507,,,シンコーエステッ7(株),シンコーエステッ7(株),2904,30,30,20,5.2.27,5.2.27,5.6.30,5.6.30,大阪信用金庫,大阪信用金庫,,大阪信用金庫,大阪信用金庫,20250501184153000,20250501184153000,(株)十字屋紙器,(株)十字屋紙器,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250724151803190,1,6,001,000327,202507,,,(株)ノダ,(株)ノダ,2128,30,30,20,5.2.27,5.2.27,5.6.30,5.6.30,静岡銀行,静岡銀行,,静岡銀行,静岡銀行,20250501184153000,20250501184153000,(株)小林ワッシヤー,(株)小林ワッシヤー,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250724151803190,1,7,001,000327,202507,,,(株)鋲定本店,(株)鋲定本店,2129,30,30,20,5.2.27,5.2.27,5.6.30,5.6.30,富山第一銀行,富山第一銀行,,富山第一銀行,富山第一銀行,20250501184153000,20250501184153000,(株)キョークロ,(株)キョークロ,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250724151803190,1,8,001,000327,202507,,,磯貝鋲螺工業(株),磯貝鋲螺工業(株),2132,30,30,20,5.2.28,5.2.28,5.6.30,5.6.30,みずほ銀行,みずほ銀行,,みずほ銀行,みずほ銀行,20250501184153000,20250501184153000,サカモト工業(株),サカモト工業(株),,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250724151803190,1,9,001,000327,202507,,,(株)ジューキ,(株)ジューキ,2900,30,30,20,4.12.5,4.12.5,5.4.20,5.4.20,埼玉りそな銀行,埼玉りそな銀行,,埼玉りそな銀行,埼玉りそな銀行,20250501184153000,20250501184153000,大同興業(株),大同興業(株),,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250724151803190,1,10,001,000327,202507,,,同上,同上,2117,30,30,20,5.1.5,5.1.5,5.5.20,5.5.20,同上,同上,,同上,同上,20250501184153000,20250501184153000,同上,同上,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
