振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
(株)ビッグビット,令5.1.31,令5.4.30,三井住友,堺,143000,,
(株)広貫堂,令5.1.12,令5.4.30,北陸,本店,3086160,,
〃,令5.3.6,令5.6.30,〃,〃,3779380,,
ニプロ(株),令4.12.22,令5.4.20,みずほ,大阪法人,30000000,,
〃,令4.12.22,令5.4.20,〃,〃,3000000,,
〃,令4.12.22,令5.4.20,りそな,大阪,100000,,
〃,令4.12.22,令5.4.20,〃,〃,96395,,
〃,令5.1.23,令5.4.20,〃,〃,100000000,,
〃,令5.1.23,令5.4.20,みずほ,大阪法人,30000000,,
〃,令5.1.23,令5.4.20,〃,〃,9110118,,
〃,令5.1.20,令5.5.20,〃,〃,30000000,,
〃,令5.1.20,令5.5.20,〃,〃,3000000,,
〃,令5.1.20,令5.5.20,りそな,大阪,100000,,
〃,令5.1.20,令5.5.20,〃,〃,65367,,
〃,令5.2.20,令5.5.20,みずほ,大阪法人,100000000,,
〃,令5.2.220,令5.5.20,〃,〃,30000000,,
〃,令5.2.20,令5.5.20,〃,〃,10000000,,
〃,令5.2.20,令5.5.20,〃,〃,5000000,,
〃,令5.2.20,令5.5.20,りそな,大阪,1000000,,
〃,令5.2.20,令5.5.20,〃,〃,74743,,
手持手形計,,,,,358555163,,
