"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)TAKISAWA","5.4.20","5.8.18","","","3438041","",""
"(株)TAKISAWA","5.5.19","5.9.15","","","2239452","",""
"(株)TAKISAWA","5.6.20","5.10.18","","","1441519","",""
"(株)TAKISAWA","5.7.20","5.11.17","","","1242507","",""
"モリマシナリー(株)","5.4.25","5.8.25","","","1567225","",""
"モリマシナリー(株)","5.5.25","5.9.25","","","3194730","",""
"モリマシナリー(株)","5.6.26","5.10.25","","","1653520","",""
"モリマシナリー(株)","5.7.25","5.11.25","","","3145560","",""
"(株)山善","5.5.15","5.9.30","","","2822600","",""
"住友重機械ファインテック(株)","5.3.31","5.8.5","","","621500","",""
"住友重機械ファインテック(株)","5.3.31","5.11.7","","","625900","",""
"その他","","","","","2299770","",""
"合計","","","","","24292324","",""
