振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
宮野医療器(株)MSCポートアイランド60買掛,R5.3.14,R5.6.30,,,1603030,みずほ銀行自由が丘支店,
協和医科器械(株),R5.3.23,R5.6.30,,,1587344,みずほ銀行自由が丘支店,
(株)フジタ医科器械千葉支店,R5.3.27,R5.6.30,,,6138,みずほ銀行自由が丘支店,
(株)フジタ医科器械,R5.3.27,R5.6.30,,,214104,みずほ銀行自由が丘支店,
(株)やよい,R5.3.28,R5.6.30,,,418473,みずほ銀行自由が丘支店,
(有)中央医科器械,R5.3.30,R5.6.30,,,255365,みずほ銀行自由が丘支店,
グリーンホスピタルサプライ(株),R5.4.3,R5.6.30,,,344245,みずほ銀行自由が丘支店,
四国医療器(株)高知支店,R5.4.10,R5.7.5,,,673431,みずほ銀行自由が丘支店,
望星サイエンス(株),R5.4.28,R5.7.5,,,284746,みずほ銀行自由が丘支店,
(株)琉球光和,R5.4.18,R5.7.8,,,1845738,みずほ銀行自由が丘支店,
(株)青木器械店,R5.3.9,R5.7.10,,,1765985,,
(株)安中集栄堂,R5.4.10,R5.7.10,,,119229,みずほ銀行自由が丘支店,
四国医療器(株),R5.4.11,R5.7.10,,,563657,みずほ銀行自由が丘支店,
マコト医科精機(株),R5.4.13,R5.7.10,,,225676,みずほ銀行自由が丘支店,
(株)エヒメ医療器,R5.5.11,R5.7.10,,,2556087,,
(株)イノメディックス,R5.4.18,R5.7.15,,,587268,みずほ銀行自由が丘支店,
日本メディカルプロダクツ(株),R5.4.21,R5.7.15,,,2134385,みずほ銀行自由が丘支店,
(株)常光,R5.4.19,R5.7.16,,,275594,みずほ銀行自由が丘支店,
カナヤ医科器械(株),R5.4.12,R5.7.18,,,590414,みずほ銀行自由が丘支店,
カナヤ医科器械(株)山口東(営),R5.4.12,R5.7.18,,,204105,みずほ銀行自由が丘支店,
カナヤ医科器械(株)北九州(営),R5.4.12,R5.7.18,,,110770,みずほ銀行自由が丘支店,
(株)ホギメディカル,R5.3.14,R5.7.20,,,5000000,みずほ銀行自由が丘支店,
〃,R5.3.14,R5.7.20,,,1566659,みずほ銀行自由が丘支店,
計,,,,,,,
