振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
グリーンホスピタルサプライ(株),R4.5.2,R4.7.31,,,274604,,
四国医療器(株)高知支店,R4.5.11,R4.8.5,,,659758,,
望星サイエンス(株),R4.5.31,R4.8.5,,,444598,,
(株)琉球光和,R4.5.18,R4.8.7,,,2136902,,
(株)青木器械店,R4.4.7,R4.8.10,,,1621733,,
(株)安中集栄堂,R4.5.11,R4.8.10,,,353614,,
四国医療器(株),R4.5.12,R4.8.10,,,547195,,
(株)大黒,R4.5.13,R4.8.10,,,399443,,
マコト医科精機(株),R4.5.17,R4.8.10,,,144782,,
カナヤ医科器械(株),R4.5.12,R4.8.15,,,800593,,
カナヤ医科器械(株)山口東(営),R4.5.12,R4.8.15,,,186615,,
カナヤ医科器械(株)北九州(営),R4.5.12,R4.8.15,,,143385,,
(株)イノメディックス,R4.5.17,R4.8.15,,,731555,,
日本メディカルプロダクツ(株),R4.5.24,R4.8.15,,,2353648,,
(株)常光,R4.5.18,R4.8.16,,,564938,,
(株)ホギメディカル,R4.4.14,R4.8.20,,,5000000,,
〃,R4.4.14,R4.8.20,,,2167083,,
(株)カジノ医科工業,R4.5.9,R4.8.20,,,232474,,
五十嵐医科工業(株),R4.5.16,R4.8.20,,,536041,,
(株)名古屋医理科商会,R4.5.20,R4.8.20,,,406274,,
(株)八神製作所,R4.5.20,R4.8.20,,,650540,,
石黒メディカルシステム(株),R4.5.30,R4.8.20,,,887494,,
山下医科器械(株)福岡本社,R4.5.30,R4.8.20,,,956945,,
計,,,,,,,
