振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
野崎印刷紙業(株),令3.12.16,令4.4.18,みずほ電子債,権記録(株),564300,,
(株)杉村製作所,令13.12.28,令4.5.10,商工中金,船場,214500,,
(株)羽田パイプ製造所,令3.12.28,令4.4.30,三菱東京UFJ,羽田,425629,,
〃,令4.1.31,令4.5.31,〃,,378201,,
野崎印刷紙業(株),令4.1.18,令4.5.16,みずほ電子債,権記録(株),477400,,
〃,令4.2.16,令4.6.16,〃,〃,477400,,
(株)羽田パイプ製造所,令4.2.28,令4.6.30,三菱東京JFJ,羽田,561058,,
(株)杉村製作所,令4.3.1,令4.7.5,商工中金,船場,371800,,
〃,令4.3.29,令4.8.5,〃,〃,496400,,
(株)羽田パイプ製造所,令4.3.31,令4.7.31,三菱東京UFJ,羽田,534814,,
野崎印刷紙業(株),令4.3.16,令4.7.19,みずほ電子債,権記録(株),561000,,
手持手形計,,,,,5062502,,
