振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
(株)ケー・アイズ,4.3.7,4.6.20,,,750000,,
(株)ケー・アイズ,4.4.5,4.7.20,,,1650000,,
(株)ケー・アイズ,4.5.6,4.8.20,,,3650000,,
(株)タツミ,4.3.20,4.7.31,,,2492864,,
(株)タツミ,4.4.20,4.8.31,,,2914868,,
(株)ホクザイ,4.2.21,4.6.5,,,1160024,,
(株)ホクザイ,4.3.22,4.7.5,,,2198423,,
(株)ホクザイ,4.5.20,4.9.5,,,598401,,
新日本ホームズ(株),4.5.27,4.8.31,,,2989800,,
(有)マツイ工務店,4.2.10,4.6.15,,,2433200,,
日本製紙木材(株),4.5.20,4.8.31,,,2168582,,
(株)茨大,4.5.25,4.9.25,,,777842,,
(株)ヤマムラ,4.5.31,4.8.31,,,727681,,
計,,,,,300073880,,
