"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)滝澤鉄工所","4.4.20","4.8.18","","","2519468","",""
"(株)滝澤鉄工所","4.5.20","4.9.16","","","2369856","",""
"(株)滝澤鉄工所","4.6.20","4.10.18","","","2655950","",""
"(株)滝澤鉄工所","4.7.20","4.11.17","","","1813669","",""
"モリマシナリー(株)","4.4.25","4.8.25","","","1134810","",""
"モリマシナリー(株)","4.5.25","4.9.25","","","966523","",""
"モリマシナリー(株)","4.6.27","4.10.23","","","2189745","",""
"住友重機械ファインテック(株)","4.3.31","4.9.7","","","597300","",""
"住友重機械ファインテック(株)","4.4.28","4.10.7","","","1737142","",""
"住友重機械ファインテック(株)","4.5.31","4.11.7","","","1124992","",""
"住友重機械ファインテック(株)","4.6.30","4.12.7","","","987250","",""
"その他","","","","","4231634","",""
"合計","","","","","22328339","",""
