振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
興菱梱包運輸(株),5.3.31,5.7.31,三菱UFJ銀行,,3618000,,電子記録債栃
(株)泉屋東京店,5.3.10,5.7.6,横浜銀行,,749111,,〃
エチレンケミカル(株),5.1.20,5.4.3,千葉銀行,,636350,,〃
(同上),5.2.20,5.5.3,〃,,370374,,〃
(同上),5.3.20,5.6.3,〃,,567292,,〃
(株)横浜リテラ,5.1.31,5.5.10,横浜銀行,,1921995,,〃
(同上),5.2.28,5.6.10,〃,,1665676,,〃
(同上),5.3.31,5.7.10,〃,,1758853,,〃
高砂運輸(株),4.12.30,5.5.31,三井住友銀行,,1092893,,〃
(同上),5.1.31,5.6.30,〃,,1374814,,〃
(同上),5.2.28,5.7.31,〃,,749341,,〃
(同上),5.3.31,5.8.31,〃,,1591513,,〃
(株)北原紙器製作所,5.1.31,5.5.10,横浜銀行,,12953421,,〃
(同上),5.2.28,5.6.10,〃,,11761233,,〃
(同上),5.3.31,5.7.10,〃,,6696338,,〃
北村紙器(株),5.3.31,5.7.31,三菱UFJ銀行,,4144450,,〃
武蔵エンジニアリング(株),5.1.25,5.5.25,みずほ銀行,,334565,,〃
ニッパ(株),5.3.31,5.8.8,三菱UFJ銀行,,7900289,,〃
東京梱包材料(株),4.11.25,5.4.5,みずほ銀行,,367069,,〃
(同上),4.12.25,5.5.5,〃,,376858,,〃
(同上),5.1.25,5.6.5,〃,,931245,,〃
(同上),5.2.25,5.7.5,〃,,426670,,〃
(同上),5.3.31,5.8.5,〃,,628315,,〃
計,,,,,,,
