"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)立石春洋堂","5.3.28","5.8.5","","","1347429","",""
"(株)キンエイクリエイト","5.4.11","5.8.10","","","733590","",""
"フマキラー(株)","5.5.2","5.8.21","","","3626823","",""
"(株)キンエイクリエイト","5.5.10","5.9.10","","","158400","",""
"(株)児玉兄弟商会","5.5.10","5.8.31","","","1215275","",""
"(株)キンエイクリエイト","5.6.12","5.10.10","","","158400","",""
"紀陽除虫菊(株)","5.6.12","5.10.5","","","1192118","",""
"(株)キンエイクリエイト","5.7.10","5.11.10","","","158400","",""
"紀陽除虫菊(株)","5.7.10","5.11.5","","","1449435","",""
"パール金属(株)","5.7.12","5.9.30","","","1591920","",""
"受取手形計","","","","","11631790","",""
"フマキラー(株)","5.6.7","5.9.20","","","16569876","",""
"同上","5.7.5","5.10.20","","","22259283","",""
"割引手形計","","","","","38829159","",""
"合計","","","","","50460949","",""
