"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"サンベ電気","5.6.30","5.10.31","","","3740000","","電債"
"北陽電気工事","5.7.20","5.10.31","","","2200000","",""
"〃","5.6.20","5.9.30","","","2100000","",""
"神州電気","5.7.18","5.10.15","","","800800","",""
"受取手形計","","","","","8840800","",""
"大成電気水道工業","5.5.10","5.8.1","","","5280770","島根中央信用金庫",""
"栗原工業","5.4.30","5.8.31","","","5000000","〃",""
"神州電気","5.5.15","5.8.16","","","3843400","〃",""
"栗原工業","5.4.30","5.8.31","","","1160000","〃",""
"割引手形計","","","","","15284170","",""
"神州電気","5.6.15","5.9.15","","","382976","",""
"大成電気水道工業","5.6.12","5.9.1","","","192500","",""
"裏書手形計","","","","","575476","",""
"合計","","","","","24700446","",""
