振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
エムズ・ロジパック,,,山口,富田,9967842,,
協同クリエイト,,,みずほ,内幸町営業部,8525015,,
クリエイト・デイ,,,りそな,垂水,12420000,,
コベルコシンワ,,,三井住友,長田,54111591,,
ジャパン建材,,,商工中金,深川,12238208,,
セイコー,,,百十四,神戸,18412764,,
大紀工業,,,紀陽,本店営業部,37218706,,
トーヨー木材工業,,,西日本シティ,若松,1704103,,
タミヤ,,,福岡,守垣,7267828,,
播磨産業,,,百十四,神戸,7897083,,
みうら,,,山口,富田,48573143,,
宮﨑木材,,,姫路信金,神戸西,6681490,,
ユアサ材料,,,三井住友,人形町,33332787,,
リョーサン,,,百十四,神戸,12368077,,
神鋼物流,,,みずほ,神戸法人,9601000,,
福岡商事,,,三井住友,長田,4534553,,
明希,,,三井住友,明石,487300,,
ユニオンゴム,,,りそな,神戸,702262,,
IMV,,,みずほ,堂島,5581671,,
阪本,,,三井住友,長田,627757,,
ウシオ,,,〃,〃,153120,,
広築,,,〃,〃,4138158,,
