"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"笠原産業(株)","R5.3.10","R5.7.10","","","820551","",""
"〃","R5.4.10","R5.8.10","","","966643","",""
"〃","R5.5.10","R5.9.10","","","1894433","",""
"〃","R5.6.12","R5.10.10","","","524717","",""
"トーコー資材(株)","R5.4.20","R5.8.15","","","417823","",""
"〃","R5.5.22","R5.9.15","","","244217","",""
"〃","R5.6.20","R5.10.15","","","235183","",""
"総合園材(株)","R5.4.5","R5.7.5","","","110000","",""
"〃","R5.5.8","R5.8.5","","","275000","",""
"〃","R5.6.5","R5.9.5","","","180000","",""
"大信産業(株)","R5.4.20","R5.7.31","","","4272410","",""
"〃","R5.5.19","R5.8.31","","","131159","",""
"〃","R5.6.20","R5.9.30","","","788751","",""
"(株)カネス","R5.6.23","R5.8.8","","","500000","",""
"〃","R5.6.23","R5.10.9","","","500000","",""
"(株)祐進","R5.4.26","R5.8.31","","","1233580","",""
"いよせき(株)","R5.5.17","R5.7.10","","","865336","",""
"大竹産業(株)","R5.3.20","R5.7.18","","","715309","",""
"(株)ノヨリ","R5.5.11","R5.8.25","","","400000","",""
"(株)林屋","R5.5.1","R5.7.31","","","344652","",""
"(株)佐々木竹材店","R5.3.22","R5.7.31","","","220000","",""
"(株)大光産業","R5.4.6","R5.7.20","","","157806","",""
"フジクレスト(株)","R5.6.23","R5.10.31","","","120901","",""
"計","","","","","","",""
