振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
五十嵐医科工業(株),R4.3.14,R4.6.20,,,472780,みずほ銀行自由が丘支店,
(株)名古屋医理科商会,R4.3.22,R4.6.20,,,512490,三井住友銀行自由が丘支店,
(株)八神製作所,R4.3.22,R4.6.20,,,329010,みずほ銀行自由が丘支店,
山下医科器械(株)福岡本社,R4.3.30,R4.6.20,,,943998,三井住友銀行自由が丘支店,
石黒メディカルシステム(株),R4.3.31,R4.6.20,,,1000000,三井住友銀行自由が丘支店,
〃,R4.3.31,R4.6.20,,,70149,三井住友銀行自由が丘支店,
大島器械(株),R4.4.11,R4.6.20,,,734371,,
宮野医療器(株),R4.3.15,R4.6.30,,,1323872,,
ソルブ(株),R4.3.23,R4.6.30,,,321310,三井住友銀行自由が丘支店,
協和医科器械(株),R4.3.23,R4.6.30,,,1558381,三井住友銀行自由が丘支店,
(株)フジタ医科器械千葉支店,R4.3.28,R4.6.30,,,9405,三井住友銀行自由が丘支店,
(株)フジタ医科器械,R4.3.28,R4.6.30,,,427262,三井住友銀行自由が丘支店,
(株)やよい,R4.3.30,R4.6.30,,,406758,三井住友銀行自由が丘支店,
(有)中央医科器械,R4.3.30,R4.6.30,,,329362,,
グリーンホスピタルサプライ(株),R4.4.1,R4.6.30,,,276804,三井住友銀行自由が丘支店,
四国医療器(株)高知支店,R4.4.8,R4.7.5,,,465586,,
望星サイエンス(株),R4.4.28,R4.7.5,,,407055,,
(株)琉球光和,R4.4.18,R4.7.8,,,1716664,,
(株)青木器械店,R4.3.9,R4.7.10,,,1339026,,
(株)安中集栄堂,R4.4.8,R4.7.10,,,196656,,
(株)カワニシ,R4.4.11,R4.7.10,,,1738237,,
(株)カワニシ広島支店,R4.4.11,R4.7.10,,,419760,,
四国医療器(株),R4.4.12,R4.7.10,,,377812,,
計,,,,,,,
