"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"三宝化成(株)","5.4.28","5.8.31","","","526020","",""
"受取手形計","","","","","305788957","",""
"(裏書手形)","","","","","","",""
"フジモリ産業(株)","4.12.28","5.4.30","","","584554","伊藤忠プラスチック(株)",""
"石田容器(株)","5.1.7","5.5.25","","","729578","伊藤忠プラスチック(株)",""
"中川産業(株)","5.1.31","5.5.31","","","227533","伊藤忠プラスチック(株)",""
"中川産業(株)","5.2.28","5.6.30","","","507276","伊藤忠プラスチック(株)",""
"(株)グラセル","5.3.31","5.7.31","","","826055","伊藤忠プラスチック(株)",""
"裏書手形計","","","","","2874996","",""
"計","","","","","","",""
