振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
(株)米沢マエタ,5.5.22,5.9.30,荘内銀行,酒田中央支店,279963,きらやか銀行荒砥支店,
日建工学(株),5.5.31,5.9.30,三菱UFJ銀行,新宿新都心支店,2038340,同上,
(株)畑山,5.5.31,5.9.30,鶴岡信金,若竹町支店,3000000,同上,
第一相互物産(株),5.5.31,5.9.30,山形銀行,寒河江支店,1508595,同上,
共和コンクリート工業(株),5.5.31,5.10.5,みずほ銀行,札幌支店,5000000,同上,
小松物産(株),5.6.10,5.10.25,七十七銀行,一番町支店,811021,同上,
(株)手塚建材,5.6.15,5.10.10,山形中央信用組合,本店営業部,233255,同上,
(株)宮本商店,5.6.15,5.10.15,山形銀行,みずほ支店,1303830,同上,
前田製管(株),5.6.20,5.10.20,商工中金,酒田支店,1439482,同上,
(株)藤島建設,5.6.20,5.10.31,山形銀行,小松支店,11170000,同上,
山形建設(株),5.6.30,5.10.10,同上,本店営業部,1765000,商工中金山形支店,
綿半ソリューションズ㈱,5.6.30,5.10.31,八十二銀行,新宿支店,583660,同上,
金屋(株),5.6.30,5.10.31,荘内銀行,本店営業部,1632334,同上,
(株)畑山,5.6.30,5.10.31,鶴岡信金,若竹町支店,1258466,きらやか銀行荒砥支店,
共和コンクリート工業(株),5.6.30,5.11.5,みずほ銀行,札幌支店,20000000,同上,
同上,5.6.30,5.11.5,同上,同上,4058290,同上,
シンコー通商(株),5.6.30,5.11.5,常陽銀行,仙台支店,2315610,同上,
同上,5.6.30,5.11.5,三井住友銀行,本店営業部,732620,同上,
樋口建設(株),5.7.5,5.9.30,山形銀行,長井支店,417164,同上,
山形県コンクリート製品工業(協),5.7.5,5.11.10,商工中金,山形支店,329989,同上,
小松物産(株),5.7.10,5.11.25,七十七銀行,一番町支店,1352881,同上,
(株)宮本商店,5.7.18,5.11.15,山形銀行,みずほ支店,469370,商工中金山形支店,
小計,,,,,61699870,,
合計,,,,,,,
