振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
(株)勝田製作所,5.8.25,5.12.20,,,1440000,,
協和精工(株),5.9.25,6.1.31,,,271432,,
協和精工(株),5.8.25,5.12.31,,,429193,,
(株)ニッパツサービス,5.9.29,6.1.31,,,2480145,,
(株)ニッパツサービス,5.8.31,5.12.29,,,3773520,,
(株)ニッパツサービス,5.7.31,5.11.30,,,3348444,,
(株)ニッパツサービス,5.6.30,5.10.31,,,3070258,,
ユタニ工業(株),5.9.20,6.2.10,,,841591,,
(株)旭商工社,5.8.31,6.1.4,,,371360,,
(株)旭商工社,5.7.31,5.11.30,,,233200,,
(株)旭商工社,5.6.30,5.10.31,,,203346,,
(株)エムアンドエヌ,5.9.5,6.1.5,,,408991,,
(株)エムアンドエヌ,5.8.4,5.12.5,,,285849,,
(株)エムアンド攻,5.7.5,5.11.3,,,499945,,
(株)エムアンドユヌ,5.6.5,5.10.5,,,307920,,
(株)エスエムケイ,5.9.8,5.12.1,,,350000,,
(株)中北製作所,5.8.31,6.1.4,,,244530,,
(株)中北製作所,5.5.31,5.10.2,,,244530,,
平和機械(株),5.9.6,5.12.15,,,318099,,
平和機械(株),5.8.8,5.11.15,,,706626,,
西浦鉄工(株),5.9.25,6.1.25,,,1118898,,
西浦鉄工(株),5.8.25,5.12.25,,,101304,,
(株)布施阪村機械,5.6.15,5.1015,,,910000,,
合計,,,,,,,
