振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
デンオン機器(株),3.11.10,4.3.10,,,685465,裏書,
日本電子(株),3.11.30,4.3.31,,,1869659,,
デンオン機器(株),3.12.10,4.4.10,,,2048035,裏書,
アコマ医科工業(株),4.1.17,4.4.20,,,546700,,
超音波工業(株),3.12.27,4.4.30,,,1900000,,
日本電子(株),3.12.28,4.4.30,,,2088960,,
(株)第一ダイヤ,3.12.23,4.5.2,,,400000,,
デンオン機器(株),4.1.11,4.5.10,,,2654680,裏書,
超音波工業(株),4.1.31,4.5.31,,,950000,,
日本電子(株),4.1.31,4.5.31,,,1415469,,
(株)第一ダイヤ,4.1.31,4.6.10,,,400000,,
デンオン機器(株),4.2.10,4.6.10,,,1894668,裏書,
日本電子(株),4.2.28,4.6.30,,,1452148,,
(株)第一ダイヤ,4.2.28,4.7.8,,,400000,,
計,,,,,18705784,,
