"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)ミツヤ","令5.5.15","令5.9.18","三井住友銀行","名古屋支店","596556","",""
"(株)ミツヤ","令5.5.15","令5.9.18","三井住友銀行","名古屋支店","2879725","",""
"日鈑商事(株)","令5.6.10","令5.9.30","十六銀行","小田井支店","277018","",""
"日鈑商事(株)","令5.6.20","令5.10.31","岡崎信用金庫","中川支店","2093647","",""
"(株)昇輝","令5.5.31","令5.9.30","北國銀行","金沢西部支店","599094","",""
"(株)昇輝","令5.5.31","令5.10.31","北國銀行","金沢西部支店","599095","",""
"光上金属(株)","令5.5.31","令5.9.30","中京銀行","小牧中央支店","2393676","",""
"光上金属(株)","令5.6.20","令5.10.25","名古屋銀行","覚王山支店","927243","",""
"クリーンメタル(株)","令5.5.22","令5.10.3","東邦銀行","平野支店","2416266","",""
"クリーンメタル(株)","令5.5.31","令5.10.5","城北信用金庫","尾久中央支店","2065867","",""
"クリーンメタル(株)","令5.5.31","令5.10.5","埼玉りそな銀行","川口支店","869240","",""
"クリーンメタル(株)","令5.5.31","令5.10.5","大垣共立銀行","守山支店","850000","",""
"クリーンメタル(株)","令5.5.25","令5.10.12","大垣共立銀行","江並支店","2037024","",""
"(株)神明工業","令5.3.20","令5.7.20","城南信用金庫","大井支店","1000000","",""
"(株)神明工業","令5.3.25","令5.7.31","りそな銀行","都島支店","242237","",""
"(株)神明工業","令5.4.17","令5.8.17","三井住友銀行","新大阪支店","2550000","",""
"(株)神明工業","令5.4.28","令5.8.31","十六銀行","碧南支店","271000","",""
"(株)エムワンスチール","令5.6.12","令5.9.10","三菱UFJ銀行","金山支店","710000","",""
"(有)大橋","令5.5.31","令5.9.5","三菱UFJ銀行","金山支店","330000","",""
"(有)大橋","令5.5.25","令5.9.30","三菱UFJ銀行","内田橋支店","122210","",""
"(有)大橋","令5.5.31","令5.9.30","中京銀行","笠寺支店","449482","",""
"(有)大橋","令5.5.31","令5.9.30","名古屋銀行","岡崎南支店","531000","",""
"(有)大橋","令5.6.10","令5.10.5","三菱UFJ銀行","滝子支店","281600","",""
"計","","","","","","",""
