"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"東洋樹脂(株)","04.12.31～05.01.31","","三井住友/日本橋","","5442747","",""
"日本合材(株)","04.10.10～05.01.10","","三井住友/備後町他","","5129095","",""
"前田樹脂(有)","04.11.04～05.01.05","","熊谷商工信組/川本","","5103824","",""
"(株)原田製作所","04.11.07～05.01.05","","朝日信金/西町","","3476295","","でんさい"
"(株)アベ化成","04.11.30～05.01.31","","きらぼし/西六郷","","2784100","","でんさい"
"(株)東新ポリマー","04.12.05～05.02.05","","芝信金/不動前","","2592586","",""
"早川商事(株)","04.10.31～05.01.31","","三菱UFJ/室町","","2518230","",""
"山下電気(株)","04.11.30～05.01.31","","商工組合中金/大森","","2514930","",""
"(有)田巻化工","04.10.31～05.01.31","","第四北越/燕南","","2435834","",""
"(有)川分合成製作所","04.10.31～05.01.20","","第四北越/燕","","2279650","",""
"中研合成化学(株)","04.11.30～05.01.31","","常陽/水海道","","2041402","","でんさい"
"(株)創和","04.11.05～04.12.05","","松本信金/本町","","2000000","",""
"(株)楠見製作所","04.12.05～05.02.05","","さわやか信金/新羽","","1931193","",""
"平安実業(株)","04.11.30～04.12.31","","常陽/久下田","","1698070","",""
"(有)佐久コミテーター製作所","04.10.30～05.01.30","","長野/岩村田","","1645534","",""
"(株)キャム","04.10.30～05.01.30","","栃木/本店営業部","","1557875","",""
"(株)ヤマト・インダストリー","04.11.30～05.01.31","","武蔵野/浦和","","1373900","","でんさい"
"今村電気化学(株)","04.10.31～04.11.30","","芝信金/不動前","","1337150","",""
"(株)建宝","04.11.08～05.01.10","","芝信用/荏原町","","1262471","",""
"二葉産業(株)","04.12.12～05.02.10","","みずほ/芝","","1232308","",""
"池田物産(株)","04.12.06～05.02.06","","第四北越/燕","","1231560","",""
"(株)宮原合成","04.12.03","","三菱UFJ/自由が丘","","1100000","",""
"庄司電気(株)","04.11.05～05.02.05","","みずほ/五反田","","1020998","",""
"協和工業(株)","04.10.31～05.01.31","","商工組合中金/千葉","","1010000","","でんさい"
"その他15件","04.10.10～05.02.28","","","","7072775","",""
"受取手形小計","","","","","61792527","",""
