"振出人","振出年月日","支払期日","支払銀行名称","金額","割引銀行名及び支店名等","摘要"
"(株)内藤商店","令4.1.10","令4.4.10","三菱UFJ銀行千葉支店","431002","",""
"(株)内藤商店","令4.4.10","令4.8.31","三菱UFJ銀行千葉支店","221639","",""
"京成自動車","令3.12.28","令4.5.5","三菱UFJ銀行市川八幡支店","1374296","",""
"京成自動車","令4.1.28","令4.6.5","三菱UFJ銀行市川八幡支店","1555290","",""
"京成自動車","令4.2.28","令4.7.5","三菱UFJ銀行市川八幡支店","721160","",""
"京成自動車","令4.3.28","令4.8.5","三菱UFJ銀行市川八幡支店","471262","",""
"京成自動車","令4.4.28","令4.9.5","三菱UFJ銀行市川八幡支店","690492","",""
"(株)佐藤機械","令3.12.20","令4.5.10","千葉興業銀行千葉支店","186010","",""
"明佑工販","令3.11.30","令4.4.30","三菱UFJ銀行新宿中央支店","117436","",""
"小計","","","","5768587","",""
"計","","","","5768587","",""
