"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)三丼織ネーム","令4・1・6","令4・4・15","","","257990","",""
"トーイン(株)","令3・12・29","令4・4・17","","","309768","",""
"(株)三井織ネーム","令4・2・7","令4・4・20","","","497355","",""
"丸金印刷(株)","令4・1・18","令4・4・21","","","471845","",""
"ジェイワークス(株)","令4・1・11","令4・4・30","","","10000000","",""
"ジェイワークス(株)","令4・1・11","令4・4・30","","","5000000","",""
"ジェイワークス(株)","令4・1・11","令4・4・30","","","3000000","",""
"ジェイワークス(株)","令4・1・11","令4・4・30","","","740481","",""
"アイパックスイケタニ(株)","令3・12・16","令4・4・30","","","293255","",""
"(株)フクイ","令4・1・12","令4・4・30","","","5000000","",""
"(株)さん・おいけ","令4・1・28","令4・4・30","","","376526","",""
"トーイン(株)","令4・1・31","令4・5・17","","","1586255","",""
"アイバックスイケタニ(株)","令4・1・18","令4・5・31","","","101244","",""
"ジェイワークス(株)","令4・2・14","令4・5・31","","","5000000","",""
"ジェイワークス(株)","令4・2・14","令4・5・31","","","2543682","",""
"(株)フクイ","令4・2・15","令4・5・31","","","5000000","",""
"トーイン(株)","令4・2・28","令4・6・17","","","2736690","",""
"丸金印刷(株)","令4・3・16","令4・6・21","","","1674849","",""
"ジェイワークス(株)","令4・3・14","令4・6・30","","","20000000","",""
"ジェイワークス(株)","令4・3・14","令4・6・30","","","78998","",""
"(株)フクイ","令4・3・15","令4・6・30","","","5000000","",""
"トーイン(株)","令4・3・30","令4・7・17","","","322465","",""
"アイパックスイケタニ(株)","令4・3・16","令4・7・31","","","101244","",""
"計","","","","","70092647","",""
