"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"大生産業(株)","04.10.05～04.11.05","","三菱UFJ/上野","","22185761","プラマテルズ(株)",""
"(株)根上産業","04.11.10～04.11.30","","西京信金/練馬他","","15000000","〃",""
"大東通信機(株)","04.10.15","","三井住友/目黒","","7138753","〃",""
"葵工業(株)","04.10.31","","長野/上山田戸倉","","1841840","〃",""
"埼玉富士(株)","04.10.20","","足利/秩父","","1697787","〃",""
"東洋樹脂(株)","04.11.30","","三井住友/日本橋","","1691085","〃",""
"その他6件","04.10.10～04.11.30","","さわやか信金/新羽他","","3315961","〃",""
"裏書手形小計","","","","","52871187","",""
"裏書手形合計","","","","","134235154","",""
"(株)根上産業","04.11.10～05.02.10","","西京信金/練馬","","41124321","",""
"大東通信機(株)","04.12.15～05.01.15","","三井住友/目黒","","32867879","",""
"大生産業(株)","04.12.05～05.02.05","","三菱UFJ/上野","","16615503","",""
"(有)大村製作所","04.10.10～05.01.15","","さわやか信金/雪谷","","13729056","",""
"三和化成工業(株)","04.01.17～05.02.17","","三菱UFJ/池上","","11535797","",""
"(株)福島明工社","04.11.30～05.02.28","","三井住友/練馬","","11487222","","でんさい"
"桐里工業(株)","04.10.31～04.12.28","","群馬/熊谷他","","10733932","",""
"行田電線(株)","04.12.31～05.01.31","","三菱UFJ/城東","","10565417","","でんさい"
"かんき(株)","04.12.20～05.01.20","","三菱UFJ/難波","","9773665","","でんさい"
"平田精工ジャパン(株)","04.12.31～05.01.31","","みずほ/川越駅前","","9628453","","でんさい"
"葵工業(株)","04.11.30～05.01.31","","長野/上山田戸倉","","6326650","",""
"(株)テージーケー","04.11.30～05.01.31","","三菱UFJ/八王子中央","","6276845","","でんさい"
"(株)埼玉富士","04.11.20～05.01.20","","足利/秩父","","6213263","",""
"受取手形小計","","","","","186878003","",""
