"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"宮野医療機器(株)","","令5.4.8","三井住友","兵庫","211736","",""
"西尾衛生材料(株)","","令5.4.15","瀬戸信金","押切","156982","",""
"大日医療販売","","令5.4.30","滋賀","本店営業部","120065","",""
"不二光学器械(株)","","令5.4.20","北洋","麻生","1094526","",""
"(株)栄屋理化","","令5.4.15","百五","本店営業部","120318","",""
"(株)ムトウ","","令5.4.10","みずほ","札幌","805115","",""
"(株)大島製作所","","令5.4.20","三菱UFJ","小松川","143167","",""
"(株)常光","","令5.4.16","三菱UFJ","札幌","290654","",""
"(株)伸和","","令5.4.20","十六","今池","157421","",""
"西尾衛生材料(株)","","令5.5.15","瀬戸信金","押切","480632","",""
"不二光学器械(株)","","令5.5.20","北洋","麻生","785268","",""
"(株)ムトウ","","令5.5.10","みずほ","札幌","509563","",""
"(株)大島製作所","","令5.5.20","三菱UFJ","小松川","348384","",""
"(株)伸和","","令5.5.20","十六","今池","168927","",""
"不二光学器械(株)","","令5.6.20","北洋","麻生","787873","",""
"(株)大島製作所","","令5.6.20","三菱UFJ","小松川","115551","",""
"(株)ムトウ","","令5.6.10","みずほ","札幌","664816","",""
"頁計","","","","","6960998","",""
