振出人,振出年月日,支払期日,支払銀行名支店名,金額,割引銀行名及び支店名等,摘要
(株)月寒製作所,R4・2・15,R4・4・20,北洋銀行月寒中央支店,431078,,
昭和マテリアル(株)岩見沢,R3・12・25,R4・4・20,北海道銀行岩見沢支店,429077,,
相互建材工業(株),R3・1・17,R4・4・5,北洋銀行恵庭中央支店支店,419463,,
北見木材(株),R4・3・22,R4・7・31,北門信用金庫手稲前田支店,400994,,
(株)カナモリ商事,R4・1・31,R4・6・5,北洋銀行新発寒支店,294356,,
(株)柴田ベニヤ商会,R4・1・20,R4・5・27,北洋銀行本店営業部支店,257915,,
西尾木材(株),R3・12・20,R4・4・20,北海道銀行豊平支店,249987,,
(株)カナモリ商事,R3・12・27,R4・5・5,北洋銀行新発寒支店,242937,,
(株)中野銘木店本社,R4・3・15,R4・7・10,みずほ銀行旭川支店,239371,,
アイテックス(株),R4・3・15,R4・6・20,北洋銀行発寒支店,238107,,
西尾木材(株),R4・1・20,R4・5・20,北海道銀行豊平支店,229130,,
日本ボデーパーツ工業(株),R4・1・17,R4・4・17,みずほ銀行梅田支店,222763,,
(株)竹生家具興業,R4・3・31,R4・7・31,北央信用組合菊水支店,215741,,
(株)マツウラ,R4・2・28,R4・6・30,北洋銀行豊平支店,212790,,
相互建材工業(株),R4・3・15,R4・6・5,北洋銀行恵庭中央支店,211486,,
(株)新六商店,R4・1・11,R4・4・30,三井住友銀行札幌支店,207375,,
松原木材店(株),R3・12・20,R4・4・30,北海道銀行宮の沢支店,206047,,
(株)エスピー工研,R4・2・15,R4・4・20,北洋銀行光星支店,205425,,
(株)今井建設工業所,R3・1・31,R4・4・7,北央信用組合屯田支店支店,201300,,
(株)ワールド山内,R3・12・20,R4・4・5,北洋銀行大谷地支店支店,198000,,
(株)竹生家具興業,R4・2・28,R4・5・31,北央信用組合菊水支店,165130,,
(株)中野銘木店本社,R3・12・15,R4・4・10,みずほ銀行旭川支店,161535,,
明和(株),R3・12・15,R4・4・20,北海道銀行白石支店,159940,,
計,,,,,,
