振出人,振出年月日,支払期日,支払銀行名支店名,金額,割引銀行名及び支店名等,摘要
(株)丸昇八田,R5・1・31,R5・5・20,北洋銀行豊平支店,800000,,
(有)金野木材店,R5・2・10,R5・4・30,北洋銀行本店営業部,775000,,
ホクセイ商事(株),R5・2・15,R5・5・31,北洋銀行千歳中央支店,720062,,
丸惣ウッド(有),R5・3・31,R5・6・30,北洋銀行手稲中央支店,717809,,
(株)マツウラ,R4・12・28,R5・4・30,北洋銀行豊平支店,658749,,
(株)ハウジング高橋,R5・3・20,R5・7・31,北洋銀行北郷支店,617229,,
(株)竹生家具興業,R5・3・31,R5・7・31,北央信用組合菊水支店,603644,,
(株)エルム電気商会,R4・12・15,R5・4・5,北洋銀行白石中央支店,553019,,
(株)竹生家具興業,R5・1・31,R5・5・31,北央信用組合菊水支店,529726,,
(株)丸昇八田,R5・2・28,R5・6・20,北洋銀行豊平支店,500000,,
(株)カナモリ商事,R4・11・29,R5・4・5,北洋銀行新発寒支店,496449,,
〃,R5・1・31,R5・6・5,北洋銀行新発寒支店,488829,,
ホクセイ商事(株),R5・1・16,R5・4・30,北洋銀行千歳中央支店,464422,,
北見木材(株),R4・12・20,R5・4・30,北門信用金庫手稲前田支店,431640,,
(株)エルム電気商会,R5・1・16,R5・5・5,室蘭信用金庫高砂支店,426373,,
北長金日米建材(株),R5・3・15,R5・7・15,北海道銀行本店営業部,406692,,
(株)カナモリ商事,R4・12・26,R5・5・5,北洋銀行新発寒支店,405673,,
(株)竹生家具興業,R4・12・28,R5・4・30,北央信用組合菊水支店,387825,,
双葉商事(株)本店,R4・12・20,R5・4・5,北洋銀行浦河支店,386650,,
相互建材工業(株),R5・3・15,R5・6・5,北洋銀行恵庭中央支店,370792,,
明和(株),R5・1・16,R5・5・20,北海道銀行白石支店,368445,,
北見木材(株),R5・2・20,R5・6・30,北門信用金庫手稲前田支店,356290,,
札幌軸受工具(株),R5・3・15,R5・5・31,北洋銀行北野支店,335929,,
計,,,,,,
