振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
金澤工業(株),令3.11.30,令4.4.5,常陽銀行,古河支店,2664241,,
(株)サンコー電子,令3.12.28,令4.4.25,東和銀行,桐生支店,5000000,,
〃,令3.12.28,令4.4.25,〃,〃,714565,,
金澤工業(株),令3.12.24,令4.5.5,常陽銀行,古河支店,2314725,,
(株)サンコー電子,令4.1.31,令4.5.25,東和銀行,桐生支店,2547748,,
金澤工業(株),令4.1.31,令4.6.5,常陽銀行,古河支店,3066158,,
タクセル(株),令4.1.31,令4.5.31,みずほ銀行,丸の内中央,268507,,
(株)サンコー電子,令4.2.28,令4.6.30,東和銀行,桐生支店,4548505,,
金澤工業(株),令4.2.28,令4.7.5,常陽銀行,古河支店,2011185,,
(株)サンコー電子,令4.3.31,令4.7.25,東和銀行,桐生支店,4223867,,
タクセル(株),令4.3.31,令4.7.31,みずほ銀行,丸の内中央,233708,,
金澤工業(株),令4.3.31,令4.8.5,常陽銀行,古河支店,3392791,,
手持手形計,,,,,30986000,,
インターワイヤード(株),令3.12.20,令4.4.20,群馬銀行,桐生支店,989874,,
(株)大日光エンジニアリグ,令3.12.30,令4.4.28,群馬銀行,桐生支店,623885,,
インターワイヤード(株),令4.1.20,令4.5.20,群馬銀行,桐生支店,1100587,,
〃,令4.3.20,令4.7.20,〃,〃,1383034,,
電子債権計,,,,,4097380,,
合計,,,,,35083380,,
