"振出人","振出年月日","支払期日","支払銀行名称","金額","割引銀行名及び支店名等","摘要"
"(株)DNPエス・ピー・テック","R 4・ 2・25","R 4・ 6・13","","464310","",""
"ザ・パック(株)","R 4・ 1・31","R 4・ 5・10","","2427414","",""
"鯨岡産業(株)","R 4・ 2・28","R 4・ 5・10","","316470","",""
"〃","R 4・ 4・30","R 4・ 7・11","","563750","",""
"桔梗屋紙商事(株)","R 4・ 2・28","R 4・ 6・30","","2386490","",""
"(株)井上商店","R 4・3・31","R 4・ 7・20","","381425","",""
"ネクスタ(株)","R 4・ 2・28","R 4・ 6・30","","292600","",""
"浅岡紙業(株)","R 4・ 3・31","R 4・ 7・25","","654830","",""
"","","","電子記録債権計","7487289","",""
"ザ・パック(株)","R 4・ 1・31","R 4・ 5・10","","2060102","",""
"〃","R 4・ 2・28","R 4・ 6・10","","1671406","",""
"〃","R 4・ 3・31","R 4・ 7・ 8","","3593810","",""
"","","","割引電子記録債権計","7325318","",""
"計","","","","41190743","",""
