"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"協同硝子(株)","5.2.28","5.7.10","","","7103014","",""
"(株)サンパック","5.2.28","5.4.30","","","6128404","",""
"三笠産業(株)","5.2.28","5.5.31","","","565488","",""
"紀伊産業(株)","5.2.28","5.6.30","","","4602994","",""
"阪神容器(株)","5.3.3","5.7.20","","","3971055","",""
"ファーマパック(株)","5.3.6","5.7.20","","","3445173","",""
"キョーラク(株)","5.3.8","5.7.10","","","10346082","",""
"日栄樹脂工業(株)","5.3.9","5.6.6","","","275000","",""
"第一化工(株)","5.3.10","5.7.16","","","4187522","",""
"石田容器(株)","5.3.10","5.7.25","","","2774373","",""
"中西化学工業(株)","5.3.17","5.6.20","","","924480","",""
"竹本容器(株)","5.3.20","5.7.5","","","1757102","",""
"(株)佐藤アンプル製作所","5.3.27","5.7.31","","","600600","",""
"協同硝子(株)","5.3.28","5.8.10","","","6225098","",""
"三笠産業(株)","5.3.28","5.6.30","","","565488","",""
"(株)サンパック","5.3.28","5.5.31","","","6037243","",""
"フジモリ産業(株)","5.3.31","5.7.31","","","5000000","",""
"フジモリ産業(株)","5.3.31","5.7.31","","","2758686","",""
"大商硝子(株)","5.3.31","5.7.20","","","4230842","",""
"(株)中林製作所","5.3.31","5.7.31","","","5000000","",""
"(株)中林製作所","5.3.31","5.7.31","","","2192188","",""
"(株)グラセル","5.3.31","5.7.31","","","10000000","",""
"(株)グラセル","5.3.31","5.7.31","","","3000000","",""
"計","","","","","","",""
