振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
(受取手形),,,,,,,
荘内土木,令5.3.31,令5.7.31,,,5000000,,
高平建設,令5.5.22,令5.8.31,,,1085579,,
荘内土木,令5.5.31,令5.9.30,,,5000000,,
荘内土木,令5.5.31,令5.9.30,,,43423,,
小計,,,,,11129002,,
(裏書手形),,,,,,,
荘内土木,令5.2.28,令5.6.30,,,2542082,,豊栄商事
高平建設,令5.3.20,令5.6.30,,,879200,,菅原鉄工所
土門建設,令5.3.20,令5.6.20,,,3000000,,ミゾタ
土門建設,令5.3.20,令5.6.20,,,463000,,ミゾタ
荘内土木,令5.3.31,令5.4.28,,,302110,,共立
土門建設,令5.4.20,令5.7.20,,,1143000,,菅原鉄工所
升川建設,令5.4.25,令5.8.10,,,915310,,菅原鉄工所
高平建設,令5.4.20,令5.7.30,,,707592,,菅原鉄工所
大場建設,令5.4.28,令5.7.31,,,1991000,,菅原鉄工所
小計,,,,,11943294,,
計,,,,,23072296,,
