振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
小川建設(株),3.12.20,4.4.20,,,760000,,
(株)片山組,3.12.27,4.4.20,,,5860000,,
小計,,,,,6620000,,
中央建設(株),4.2.10,4.5.10,,,12200000,,
ライト工業(株),4.3.25,4.5.25,,,2040000,,
小計,,,,,14240000,,
(株)塩浜工業,4.3.25,4.7.8,,,1584000,,
(株)片山組,4.3.25,4.7.20,,,1100000,,
小川建設(株),4.3.22,4.7.22,,,980000,,
コーナン建設(株),4.3.22,4.7.22,,,1680000,,
小計,,,,,5344000,,
日本建設(株),3.12.6,4.4.5,,,6404800,,でんさい
白石建設(株),3.12.6,4.4.5,,,5900000,,でんさい
(株)守谷商会,3.12.6,4.4.5,,,1345340,,でんさい
(株)合田工務店,3.12.10,4.4.10,,,32400000,,でんさい
(株)鍜治田工務店,3.12.13,4.4.11,,,4160000,,でんさい
(株)友菱,4.1.20,4.4.15,,,1512500,,でんさい
小計,,,,,51722640,,
(株)松永建設,3.12.28,4.5.2,,,5489000,,でんさい
日本建設(株),3.12.28,4.5.5,,,711700,,でんさい
(株)合田工務店,4.1.10,4.5.10,,,12800000,,でんさい
(株)友菱,4.2.21,4.5.15,,,1842500,,でんさい
(株)松永建設,4.1.31,4.5.31,,,494010,,でんさい
計,,,,,,,
