"振出人","振出年月日","支払期日","支払銀行名称","金額","割引銀行名及び支店名等","摘要"
"(株)内藤商店","令5.1.10","令5.5.31","三菱UFJ銀行千葉支店","276540","",""
"(株)内藤商店","令5.4.10","令5.8.31","三菱UFJ銀行千葉支店","208692","",""
"京成自動車","令4.12.28","令5.5.5","三菱UFJ銀行市川八幡支店","444092","",""
"京成自動車","令5.1.28","令5.6.10","三菱UFJ銀行市川八幡支店","1190024","",""
"京成自動車","令5.4.28","令5.9.5","三菱UFJ銀行市川八幡支店","370007","",""
"(株)佐藤機械","令5.1.20","令5.6.10","千葉興業銀行千葉支店","205777","",""
"(株)佐藤機械","令5.2.28","令5.7.10","千葉興業銀行千葉支店","136455","",""
"明佑工販","令4.12.28","令5.5.31","三菱UFJ銀行新宿中央支店","134992","",""
"小計","","","","2966579","",""
"計","","","","2966579","",""
