振出人,振出年月日,支払期日,支払銀行名支店名,金額,割引銀行名及び支店名等,摘要
(株)ハウジング高橋,R4・1・20,R4・５・31,北洋銀行北郷支店,3435265,,
(株)ノースファインプランニング,R4・2・28,R4・7・10,北洋銀行札幌駅南口支店,3000000,,
エスビーエス(株),R4・1・27,R4・5・10,千葉銀行初石支店,2966550,,
〃,R3・12・20,R4・4・10,千葉銀行初石支店,2843936,,
ダイアックス(株),R3・12・20,R4・4・15,みずほ銀行札幌支店,2711784,,
岩倉建材(株),R4・3・18,R4・7・20,北洋銀行豊平支店,2155002,,
(株)ノースファインプランニング,R4・3・31,R4・8・10,北洋銀行札幌駅南口支店,2000000,,
(株)ハウジング高橋,R3・12・20,R4・4・30,北洋銀行北郷支店,1851460,,
(株)協栄ハウス,R4・3・31,R4・5・31,苫小牧信金・千歳千歳支店,1760000,,
(株)マツウラ,R4・3・31,R4・7・31,北洋銀行豊平支店,1688988,,
晃和住宅(株),R4・2・28,R4・6・30,北洋銀行手稲中央支店,1646192,,
(株)ハウジング高橋,R4・2・20,R4・6・30,北洋銀行北郷支店,1615993,,
北見木材(株),R4・1・20,R4・5・31,北門信用組合手稲前田支店,1585706,,
(株)丸昇八田,R3・12・28,R4・4・20,北洋銀行豊平支店,1500000,,
〃,R4・1・31,R4・5・20,北洋銀行豊平支店,1500000,,
北見木材(株),R3・12・20,R4・4・30,北門信用金庫手稲前田支店,1428416,,
(株)ハウジング高橋,R4・3・20,R4・7・31,北洋銀行北郷支店,1194886,,
エスビーエス(株),R4・2・28,R4・6・10,千葉銀行初石支店,1180148,,
(株)マツウラ,R3・12・28,R4・4・30,北洋銀行豊平支店,1112566,,
エスビーエス(株),R4・3・26,R4・7・20,千葉銀行初石支店,1032836,,
(株)三浦建設,R3・12・28,R4・4・30,北洋銀行江別中央支店,1010000,,
(株)若原建設工業,R3・12・29,R4・5・2,北洋銀行北郷支店,1000000,,
三上建設(株),R4・1・25,R4・5・25,北洋銀行北五条通支店,1000000,,
計,,,,,,
