"振出人","振出年月日","支払期日","支払銀行名称","金額","割引銀行名及び支店名等","摘要"
"西久保製袋(株)","R 4・ 4・18","R 4・ 7・20","きらぼし銀行/深川支店","730648","",""
"(株)ベルベ","R 4・ 4・18","R 4・ 6・20","りそな銀行/中野支店","380248","",""
"(株)タナカ","R 4・ 1・31","R 4・ 5・ 2","みずほ銀行/鶴見支店","963039","",""
"〃","R 4・ 2・28","R 4・ 5・31","みずほ銀行/鶴見支店","295746","",""
"〃","R 4・ 3・29","R 4・ 6・30","みずほ銀行/鶴見支店","272976","",""
"(株)鯨岡","R 4・ 1・19","R 4・ 5・10","三井住友銀行/千住支店","904585","",""
"〃","R 4・ 2・ 9","R 4・ 6・10","三井住友銀行/千住支店","759550","",""
"〃","R 4・ 4・11","R 4・ 8・10","三井住友銀行/千住支店","552750","",""
"富士紙工(株)","R 4・ 1・19","R 4・ 5・ 2","三菱UFJ銀行/日暮里支店","821505","",""
"〃","R 4・ 2・17","R 5・ 5・31","三菱UFJ銀行/日暮里支店","1323693","",""
"〃","R 4・ 3・16","R 4・ 6・30","三菱UFJ銀行/日暮里支店","215383","",""
"〃","R 4・ 4・18","R 4・ 8・ 1","三菱UFJ銀行/日暮里支店","622130","",""
"〃","R 4・ 1・19","R 4・ 3・16","三菱UFJ銀行/日暮里支店","533544","",""
"(株)高春堂","R 4・ 2・25","R 4・ 5・10","きらぼし銀行/茅場町支店","299200","",""
"〃","R 4・ 4・26","R 4・ 7・11","きらぼし銀行/茅場町支店","718190","",""
"(株)パックウエル","R 4・ 2・28","R 4・ 5・31","三菱UFJ銀行/草加駅前支店","4061200","",""
"〃","R 4・ 3・30","R 4・ 6・30","三菱UFJ銀行/草加駅前支店","533430","",""
"(株)夏目","R 4・ 2・ 7","R 4・ 5・ 6","八十二銀行/長野南支店","1845182","",""
"〃","R 4・ 3・ 7","R 4・ 6・ 3","八十二銀行/長野南支店","1056801","",""
"大洋印刷(株)","R 4・ 1・28","R 4・ 5・10","みずほ銀行/浜松駅前支店","1182500","",""
"〃","R 4・ 4・27","R 4・ 8・10","みずほ銀行/浜松駅前支店","8116350","",""
"遠州紙商事(株)","R 4・ 1・13","R 4・ 5・ 2","静岡銀行/成子支店","189486","",""
"受取手形計","","","","26378136","",""
"計","","","","","",""
