振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
小笠原電装,3・10・8,4・4・30,,,"1,045,966",杜の都信用金庫,
小笠原電装,3・11・9,4・5・31,,,"573,362",,
仙北電装,3・11・22,4・4・30,,,"697,686",七十七銀行,
小笠原電装,3・12・6,4・6・30,,,"771,513",,
弘前バッテリー社,3・12・10,4・4・30,,,"319,378",杜の都信用金庫,
藤建販,3・12・10,4・4・30,,,"277,981",杜の都信用金庫,
イチネンMTM,3・12・13,4・4・20,,,"143,853",杜の都信用金庫,
,3・12・18,4・4・2,,,"343,377",杜の都信用金庫,
仙北電装,3・12・18,4・5・31,,,"466,926",,
青森ユアサ電池販売,3・12・23,4・4・10,,,"319,549",杜の都信用金庫,
佐々木建設新英商事,3・12・28,4・4・30,,,"310,112",杜の都信用金庫,
羽田電機工業所,3・12・28,4・4・30,,,"1,914,344",七十七銀行,
小笠原電装,4・1・13,4・7・31,,,"655,274",,
守友電装,4・1・17,4・4・28,,,"571,097",仙台銀行,
アサノ電装,4・1・17,4・4・30,,,"1,097,412",仙台銀行,
,4・1・17,4・5・7,,,"137,095",,
河田電機,4・1・18,4・5・10,,,"800,000",,
岩手自動車電機,4・1・19,4・4・20,,,"228,577",仙台銀行,
佐藤電機工業,4・1・19,4・4・30,,,"316,397",仙台銀行,
トヨタエルアンドエフ宮城,4・1・20,4・4・20,,,"168,556",七十七銀行,
平和実業上北電機商会,4・1・22,4・4・25,,,"364,507",杜の都信用金庫,
カナモト上北電機商会,4・1・22,4・4・30,,,"309,298",七十七銀行,
上北電機商会,4・1・22,4-4-30,,,"1,343,947",仙台銀行,
計,,,,,,,
