"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"ケービーエル","4・2・26","4・4・30","","","253273","仙台銀行",""
"大洋自動車薨御MK電装商事","4・2・26","4・5・31","","","601062","",""
"弘前バッテリー社","4・2・26","4・6・30","","","296566","",""
"八戸電機商会","4・2・28","4・5・31","","","334213","",""
"羽田電機工業所","4・2・28","4・6・30","","","1609369","",""
"石井電装サービス","4・2・28","4・6・1","","","181276","",""
"秋田重車輛","4・3・9","4・6・30","","","260271","",""
"小笠原電装","4・3・9","4・9・30","","","611753","",""
"","4・3・12","4・7・2","","","210541","",""
"アサノ電装","4・3・16","4・6・30","","","659275","",""
"小又建設上北電機商会","4・3・18","4・5・31","","","206888","",""
"岩手自動車電機","4・3・18","4・6・20","","","408817","",""
"佐藤電機工業","4・3・18","4・6・30","","","302695","",""
"上北電機照会","4・3・18","4・6・30","","","518252","",""
"西東北日野自動車トータルサポート高橋電装","4・3・19","4・5・18","","","400000","",""
"仙北電装","4・3・19","4・8・31","","","188739","",""
"大館自動車部品商会","4・3・25","4・6・30","","","221879","",""
"ほくとう北村電装サービス","4・3・25","4・7・31","","","340470","",""
"郡山運送鈴木電機工業所","4・3・28","4・6・6","","","155496","",""
"大洋自動車工業MK電装商事","4・3・30","4・6・30","","","1138014","",""
"石井電装サービス","4・3・31","4・7・1","","","363267","",""
"羽田電機工業所","4・3・31","4・6・30","","","152631","",""
"計","","","","","32876495","",""
