"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"野原住環境(株)","4.4.28","4.7.31","","","955153","",""
"野原住環境(株)","4.5.31","4.8.31","","","2824206","",""
"(株)ジューテック","4.4.28","4.8.31","","","10000000","",""
"(株)ジューテック","4.4.28","4.8.31","","","4608411","",""
"(株)ジューテック","4.5.31","4.9.30","","","5000000","",""
"(株)ジューテック","4.5.31","4.9.30","","","1290129","",""
"ナイス(株)","4.4.10","4.7.20","","","4846008","",""
"ナイス(株)","4.5.10","4.8.20","","","5000000","",""
"ナイス(株)","4.5.10","4.8.20","","","3000000","",""
"ナイス(株)","4.5.10","4.8.20","","","2073727","",""
"ハウディー(株)","4.3.31","4.7.5","","","5000000","",""
"ハウディー(株)","4.3.31","4.7.5","","","1160165","",""
"ハウディー(株)","4.4.28","4.8.5","","","5000000","",""
"ハウディー(株)","4.4.28","4.8.5","","","625908","",""
"(株)ノダ","4.2.24","4.6.30","","","2888609","",""
"(株)ノダ","4.3.29","4.7.31","","","2810245","",""
"(株)ノダ","4.4.26","4.8.31","","","2749257","",""
"(株)ノダ","4.5.27","4.9.30","","","2592489","",""
"(株)テンサン","4.2.15","4.6.15","","","792081","",""
"(株)テンサン","4.3.15","4.7.15","","","2701248","",""
"(株)テンサン","4.3.15","4.7.15","","","526504","",""
"(株)テンサン","4.4.15","4.8.15","","","1485907","",""
"(株)テンサン","4.5.15","4.9.15","","","2701248","",""
"計","","","","","","",""
