file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,account,account,金額,,,,,,,,,,,,,,,,,,
,,,1,当期未処分利益,当期未処分利益,818683,,,,,,,,,,,,,,,,,,
,,,2,その他調整勘定,その他調整勘定,,,,,,,,,,,,,,,,,,,
,,,3,利益金処分額,利益金処分額,818683,,,,,,,,,,,,,,,,,,
,,,4,利益準備金,利益準備金,,,,,,,,,,,,,,,,,,,
,,,5,配当金,配当金,,,,,,,,,,,,,,,,,,,
,,,6,役員賞与金,役員賞与金,,,,,,,,,,,,,,,,,,,
,,,7,資本金,資本金,,,,,,,,,,,,,,,,,,,
,,,8,任意積立金,任意積立金,,,,,,,,,,,,,,,,,,,
,,,9,次期繰越利益,次期繰越利益,818683,,,,,,,,,,,,,,,,,,
