file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,account,account,金額,,,,,,,,,,,,,,,,,,
,,,1,(流動資産),(流動資産),"(233,540,601)",,,,,,,,,,,,,,,,,,
,,,2,現金及び預金,現金及び預金,"28,229,341",,,,,,,,,,,,,,,,,,
,,,3,受取手形,受取手形,"1,848,048",,,,,,,,,,,,,,,,,,
,,,4,売掛金,売掛金,"61,656,319",,,,,,,,,,,,,,,,,,
,,,5,商品,商品,"134,835,779",,,,,,,,,,,,,,,,,,
,,,6,未収入金,未収入金,"139,409",,,,,,,,,,,,,,,,,,
,,,7,仮払金,仮払金,"2,100,000",,,,,,,,,,,,,,,,,,
,,,8,前払費用,前払費用,"2,571,201",,,,,,,,,,,,,,,,,,
,,,9,立替金,立替金,"2,660,504",,,,,,,,,,,,,,,,,,
,,,10,貸倒引当金,貸倒引当金,"▲500,000",,,,,,,,,,,,,,,,,,
,,,11,(固定資産),(固定資産),"(65,666,456)",,,,,,,,,,,,,,,,,,
,,,12,(有形固定資産),(有形固定資産),"(13,372,500)",,,,,,,,,,,,,,,,,,
,,,13,建物,建物,"5,960,551",,,,,,,,,,,,,,,,,,
,,,14,建物附属設備,建物附属設備,"5,504,508",,,,,,,,,,,,,,,,,,
,,,15,構築物,構築物,"253,581",,,,,,,,,,,,,,,,,,
,,,16,機械装置,機械装置,"486,942",,,,,,,,,,,,,,,,,,
,,,17,車両運搬具,車両運搬具,5,,,,,,,,,,,,,,,,,,
,,,18,工具器具備品,工具器具備品,"1,166,913",,,,,,,,,,,,,,,,,,
,,,19,(無形固定資産),(無形固定資産),"(593,687)",,,,,,,,,,,,,,,,,,
,,,20,電話加入権,電話加入権,"593,687",,,,,,,,,,,,,,,,,,
,,,21,(投資その他の資産),(投資その他の資産),"(51,700,269)",,,,,,,,,,,,,,,,,,
,,,22,投資有価証券,投資有価証券,"20,160,418",,,,,,,,,,,,,,,,,,
,,,23,出資金,出資金,"68,700",,,,,,,,,,,,,,,,,,
,,,24,預け金,預け金,"20,470",,,,,,,,,,,,,,,,,,
,,,25,差入保証金,差入保証金,"8,527,747",,,,,,,,,,,,,,,,,,
,,,26,保険積立金,保険積立金,"16,644,314",,,,,,,,,,,,,,,,,,
,,,27,会員権,会員権,"4,500,000",,,,,,,,,,,,,,,,,,
,,,28,長期前払費用,長期前払費用,"1,778,620",,,,,,,,,,,,,,,,,,
,,,29,資産の部計,資産の部計,"299,207,057",,,,,,,,,,,,,,,,,,
,,,30,(流動負債),(流動負債),"(22,183,648)",,,,,,,,,,,,,,,,,,
,,,31,買掛金,買掛金,"3,585,374",,,,,,,,,,,,,,,,,,
,,,32,短期借入金,短期借入金,"12,236,199",,,,,,,,,,,,,,,,,,
,,,33,未払金,未払金,"3,313,913",,,,,,,,,,,,,,,,,,
,,,34,預り金,預り金,"1,371,562",,,,,,,,,,,,,,,,,,
,,,35,未払法人税等,未払法人税等,"140,000",,,,,,,,,,,,,,,,,,
,,,36,未払消費税等,未払消費税等,"1,536,600",,,,,,,,,,,,,,,,,,
,,,37,(固定負債),(固定負債),"(300,186,607)",,,,,,,,,,,,,,,,,,
,,,38,長期借入金,長期借入金,"300,186,607",,,,,,,,,,,,,,,,,,
,,,39,負債の部計,負債の部計,"322,370,255",,,,,,,,,,,,,,,,,,
,,,40,(株主資本),(株主資本),"(▲23,163,198)",,,,,,,,,,,,,,,,,,
,,,41,(資本金),(資本金),"(10,000,000]",,,,,,,,,,,,,,,,,,
,,,42,(利益剰余金),(利益剰余金),"[▲33,163,198)",,,,,,,,,,,,,,,,,,
,,,43,利益準備金,利益準備金,"800,000",,,,,,,,,,,,,,,,,,
,,,44,(その他利益剰余金),(その他利益剰余金),"(▲33,963,198)",,,,,,,,,,,,,,,,,,
,,,45,別途積立金,別途積立金,"200,000,000",,,,,,,,,,,,,,,,,,
,,,46,繰越利益剰余金,繰越利益剰余金,"▲233,963,198",,,,,,,,,,,,,,,,,,
,,,47,(うち当期純利益),(うち当期純利益),"(▲48,097,998)",,,,,,,,,,,,,,,,,,
,,,48,純資産の部計,純資産の部計,"▲23,163,198",,,,,,,,,,,,,,,,,,
,,,49,負債・純資産の部計,負債・純資産の部計,"299,207,057",,,,,,,,,,,,,,,,,,
