"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(受取手形)","","","","","","",""
"(株)オリエンテック","","R4.5.2","","","421784","",""
"〃","","R4.5.31","","","1685145","",""
"〃","","R4.6.30","","","118800","",""
"〃","","R4.8.1","","","2461800","",""
"計","","","","","4687529","",""
"(割引手形)","","","","","","",""
"東京計器(株)","","R4.5.20","","","5108736","東京計器協同組合",""
"〃","","R4.6.20","","","4318397","東京計器協同組合",""
"〃","","R4.7.20","","","3832717","東京計器協同組合",""
"〃","","R4.8.19","","","5034958","東京計器協同組合",""
"計","","","","","18294808","",""
"計","","","","","22982337","",""
