"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"伊勢久(株)","4.11.7","5.3.7","中京/大津町","","312004","",""
"(株)ディーソルメディックス","4.11.30","5.3.5","東京シティ/本店","","2007398","",""
"林純薬工業(株)","4.11.30","5.3.31","商工中金/大阪","","609169","",""
"サンメディックス(株)","4.12.15","5.3.17","三菱UFJ/室町","","502216","",""
"宮野医療器(株)","4.12.12","5.3.11","三井住友/兵庫","","2354616","",""
"ケニス(株)","4.12.12","5.3.20","三菱UFJ/天満","","609829","",""
"宝来メディック(株)","4.12.12","5.3.10","鹿児島/卸本町","","157135","",""
"(株)シバタインテック","4.12.10","5.3.10","岩手/仙台","","634392","",""
"(株)カワニシ","4.12.10","5.3.10","山陰合岡/岡山","","1066494","",""
"(株)矢沢科学","4.12.15","5.3.12","みずほ/本郷","","202374","",""
"伊勢久(株)","4.12.5","5.4.7","中京/大津町","","768983","",""
"正晃(株)","4.12.15","5.3.10","福岡/箱崎","","13901593","",""
"(株)ムトウ","4.12.15","5.3.10","北海道/札幌駅前","","1613546","",""
"(株)イノメディックス","4.12.15","5.3.15","みずほ/本郷","","1059058","",""
"(株)ユニオン","4.12.20","5.3.10","高崎信金/西","","349492","",""
"アルフレッサ篠原化学(株)","4.12.12","5.3.10","りそな/本郷","","1106226","",""
"(株)池田理化","4.12.20","5.3.20","三井住友/日本橋","","4566071","",""
"(株)伸和","4.12.20","5.3.20","十六/今池","","564674","",""
"(株)扶桑理化","4.12.20","5.3.15","広島/松永南","","946000","",""
"家田化学薬品(株)","4.12.20","5.3.20","三菱UFJ/春日町","","1202152","",""
"和研薬(株)","4.12.20","5.3.10","三井住友/四条","","325886","",""
"廣瀬化学薬品(株)","4.12.20","5.3.15","三菱UFJ/三宮","","4422809","",""
"八洲薬品(株)","4.12.26","5.3.11","三菱UFJ/天満","","1077054","",""
"計","","","","","","",""
