"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)ユニタス","5.3.17","5.7.31","商工組合中央金庫","上野支店","1302510","","サカモト工業(株)"
"オリップ(株)","5.3.20","5.7.20","三菱UFJ銀行","心斎橋支店","1114881","","(株)十字屋紙器"
"(株)東京鋲兼","5.3.22","5.7.20","同上","本所中央支店","4499232","",""
"ファスナー工業(株)","5.3.23","5.7.31","城南信用金庫","入新井支店","1070881","","(株)エムケーテクニカル"
"(株)ニシムラ","5.3.27","5.5.31","静岡銀行","東京営業部","1000000","","(株)ノダ"
"シンコーエステック(株)","5.3.27","5.7.31","大阪信用金庫","加美支店","1567060","",""
"(株)ライテック","5.3.30","5.4.30","富山第一銀行","婦中支店","131519","","(株)メタルウェア"
"同上","5.3.30","5.4.30","りそな銀行","東京営業部","366575","","不ニサッシ(株)"
"同上","5.3.30","5.4.30","同上","新都心営業部","623762","","立川機工(株)"
"同上","5.3.30","5.4.30","静岡銀行","東京営業部","5137288","","(株)ノダ"
"同上","5.3.30","5.4.30","同上","同上","323274","","同上"
"同上","5.3.30","5.5.5","横浜信用金庫","さがみ野支店","356451","","東北サッシ工業(株)"
"(株)ノダ","5.3.30","5.7.31","静岡銀行","東京営業部","1251544","",""
"(株)鋲定本店","5.3.30","5.7.31","富山第一銀行","東京支店","167794","",""
"(株)ノダ","5.3.30","5.6.30","静岡銀行","東京営業部","653353","","(有)萬善鍍金"
"アドン(株)","5.3.31","5.6.30","同上","清水支店","345290","","木田精工(株)"
"(有)増田製鋲所","5.3.31","5.7.15","城北信用金庫","清門町支店","202934","","ティガクラフト"
"磯貝鋲螺工業(株)","5.3.31","5.7.31","みずほ銀行","亀有支店","371781","","(有)福井化工"
"手許手形計","","","","","20486129","",""
"ケイ・マック(株)","4.12.26","5.4.20","三菱東京UFJ銀行","梅田中央支店","224704","",""
"イワタボルト(株)","4.12.20","5.4.20","みずほ電子債権記録(株)","","1644979","",""
"ケイ・マック(株)京都","4.12.26","5.4.20","りそな決済サービス(株)","","411979","",""
"合計","","","","","","",""
