"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)リーブルテック","令4.6.30","令4.8.31","みずほ銀行","王子","2994444","城北信用金庫/戸田",""
"セザックス(株)","令4.3.31","令4.7.31","三井住友銀行","下丸子","1830000","群馬銀行/戸田",""
"(株)興陽館","令4.3.31","令4.8.5","三井住友銀行","神田","642026","川口信用金庫/戸田北",""
"割引手形計","","","","","27364828","",""
"(株)新寿堂","令4.4.25","令4.8.10","みずほ銀行","銀座中央","176671","",""
"〃","令4.5.10","令4.9.10","〃","〃","871881","",""
"〃","令4.6.25","令4.10.10","〃","〃","653434","",""
"(株)ミニカラー","令4.5.31","令4.9.10","城北信用金庫","入谷舎人","244200","",""
"セザックス(株)","令4.4.28","令4.8.31","三井住友銀行","下丸子","1185000","",""
"〃","令4.5.31","令4.9.30","〃","〃","762000","",""
"(株)サンワ","令4.6.20","令4.8.10","りそな銀行","九段","650000","",""
"裏書手形計","","","","","4543186","",""
"合計","","","","","48014259","",""
