"振出人","振出年月日","支払期日","支払銀行名称","金額","割引銀行名及び支店名等","摘要"
"富士紙工(株)","R 5・ 1・17","R 5・ 5・ 1","三菱UFJ銀行/日暮里支店","1285590","",""
"(株)鯨岡","R 5・ 1・20","R 5・ 5・10","三井住友銀行/千住支店","592900","",""
"(株)タナカ","R 5・ 1・30","R 5・ 5・ 1","みずほ銀行/鶴見支店","607508","",""
"(株)パックウェル","R 5・1・30","R 5・ 5・ 1","三菱UFJ銀行/草加支店","2000000","",""
"〃","R 5・1・30","R 5・ 5・1","三菱UFJ銀行/草加支店","84500","",""
"(株)夏目","R 5・ 2・ 6","R 5・ 5・ 3","八十二銀行/長野南支店","1438786","",""
"(株)鯨岡","R 5・ 2・10","R 5・ 6・10","三井住友銀行/千住支店","1103850","",""
"西久保製袋(株)","R 5・ 2・16","R 5・ 5・20","きらぼし銀行/深川支店","548161","",""
"富士紙工(株)","R 5・ 2・16","R 5・ 5・31","三菱UFJ銀行/日暮里支店","817116","",""
"(株)高春堂","R 5・2・22","R 5・ 5・10","きらぼし銀行/茅場町支店","370700","",""
"(株)パックウェル","R 5・ 2・27","R 5・ 5・31","三菱UFJ銀行/草加駅前支店","3000000","",""
"〃","R 5・ 2・27","R 5・ 5・31","三菱UFJ銀行/草加駅前支店","772780","",""
"(株)タナカ","R 5・ 2・28","R 5・ 5・31","みずほ銀行/鶴見支店","1511923","",""
"富士紙工(株)","R 5・ 3・16","R 5・ 6・30","三菱UFJ銀行/日暮里支店","352278","",""
"サンアイパック(株)","R 5・ 3・27","R 5・ 5・31","千葉銀行/市川支店","538376","",""
"(株)タナカ","R 5・3・30","R 5・ 6・30","みずほ銀行/鶴見支店","340395","",""
"(株)鯨岡","R 5・ 4・10","R 5・ 8・10","三井住友銀行/千住支店","771100","",""
"富士紙工(株)","R 5・ 4・14","R 5・ 7・31","三菱UFJ銀行/日暮里支店","2069653","",""
"〃","R 5・ 4・14","R 5・ 5・31","三菱UFJ銀行/日暮里支店","321750","",""
"西久保製袋(株)","R 5・ 4・18","R 5・ 7・20","きらぼし銀行/深川支店","440207","",""
"大洋印刷(株)","R 5・ 4・27","R 5・ 8・10","みずほ銀行/浜松駅前支店","1662650","",""
"","","","受取手形計","20630223","",""
"計","","","","","",""
