"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)ジェイ・エム・エス広島本社","R5.6.26","R5.10.25","もみじ銀行本店営業部","","2279839","",""
"ビー・エル・オートテック(株)","R5.6.26","R5.10.25","三井住友銀行神戸営業部","","522225","",""
"住友精密工業(株)","R5.6.30","R5.10.31","三井住友銀行大阪本店営業部","","5000000","",""
"住友精密工業(株)","R5.6.30","R5.10.31","三井住友銀行大阪本店営業部","","3000000","",""
"住友精密工業(株)","R5.6.30","R5.10.31","三井住友銀行大阪本店営業部","","792993","",""
"受取手形計","","","","","157112491","",""
"極東産機(株)","R5.5.20","R5.7.10","広島銀行福山営業本部","","106095","",""
"藤田金属(株)","R5.2.20","R5.7.16","広島銀行福山営業本部","","3174864","",""
"(株)タカトリ","R5.3.17","R5.7.20","広島銀行福山営業本部","","6025338","",""
"(株)アルバック","R5.5.18","R5.7.20","広島銀行福山営業本部","","2387110","",""
"島津プレシジョンテクノロジー(株)","R5.3.27","R5.7.25","広島銀行福山営業本部","","9047280","",""
"島津産機システムス(株)","R5.3.31","R5.7.31","広島銀行福山営業本部","","359755","",""
"(株)日本キャリア工業","R5.4.15","R5.8.5","広島銀行福山営業本部","","9812356","",""
"藤田金属(株)","R5.3.20","R5.8.16","広島銀行福山営業本部","","3563604","",""
"(株)アルバック","R5.6.16","R5.8.21","広島銀行福山営業本部","","1006390","",""
"島津プレシジョンテクノロジー(株)","R5.4.27","R5.8.25","広島銀行福山営業本部","","7582960","",""
"島津産機システムス(株)","R5.4.30","R5.8.31","広島銀行福山営業本部","","212080","",""
"(株)日本キャリア工業","R5.5.15","R5.9.5","広島銀行福山営業本部","","7426445","",""
"島津プレシジョンテクノロジー(株)","R5.5.29","R5.9.25","広島銀行福山営業本部","","5891875","",""
"(株)日本キャリア工業","R5.6.15","R5.10.5","広島銀行福山営業本部","","2206296","",""
"長州産業(株)","R5.6.30","R5.10.16","三菱UFJ銀行福山支店","","428450","",""
"島津プレシジョンテクノロジー(株)","R5.6.27","R5.10.25","広島銀行福山営業本部","","9312710","",""
"電子記録債権計","","","","","68543608","",""
"計","","","","","225656099","",""
