"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"東京硝子器械(株)","5.1.16","5.4.23","三菱UFJ/室町","","395142","",""
"(株)新興精機","5.1.16","5.4.15","福岡/箱崎","","1847945","",""
"(株)勝木太郎助商店","5.1.31","5.4.30","北國/小松中央","","112332","",""
"小西医療器(株)","5.1.20","5.4.20","みずほ/天満橋","","2478960","",""
"(株)三商","5.1.20","5.4.20","三菱UFJ/室町","","3000000","",""
"(株)三商","5.1.20","5.4.20","三菱UFJ/室町","","401776","",""
"関谷理化(株)","5.1.31","5.4.30","三菱UFJ/日本橋","","220077","",""
"中山商事(株)","5.1.31","5.5.31","東邦/日立","","2066252","",""
"小川精機(株)","5.1.31","5.4.30","もみじ/本店営業部","","648780","",""
"(株)関薬","5.1.31","5.4.30","三井住友/堂島","","748176","",""
"白非松器械(株)","5.2.10","5.5.31","みずほ/天満橋","","1441660","",""
"東和科学(株)","5.2.15","5.5.15","三菱UFJ/神保町","","967076","",""
"(株)三商","5.2.15","5.5.20","三菱UFJ/室町","","2884922","",""
"(株)栄屋理化","5.2.15","5.5.15","百五/本店営業部","","405900","",""
"東京硝子器械(株)","5.2.15","5.5.23","三菱UFJ/室町","","2244003","",""
"小西医療器(株)","5.2.20","5.5.20","みずほ/天満橋","","2765400","",""
"中山商事(株)","5.2.28","5.6.30","東邦/日立","","3000000","",""
"中山商事(株)","5.2.28","5.6.30","東邦/日立","","164102","",""
"関谷理化(株)","5.2.28","5.5.31","三菱UFJ/日本橋","","1030172","",""
"小川精機(株)","5.2.28","5.5.31","もみじ/本店営業部","","901780","",""
"(株)関薬","5.2.28","5.5.31","三井住友/堂島","","560758","",""
"計","","","","","","",""
