"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(受取手形)","","","","","","",""
"ビルドベース芸西生コン","5.4.25","5.8.31","高知銀行","南支店","13689000","",""
"ビルドベース中芸生コンクリート","5.4.25","5.8.31","高知銀行","南支店","22163000","",""
"高知骨材センター","5.4.28","5.8.31","四国銀行","本店","432667","",""
"芸東生コンクリート(株)","5.4.20","5.8.5","高知銀行","野市支店","14118849","",""
"室戸菱光コンクリート(株)","5.5.22","5.8.20","四国銀行","室戸支店","263186","",""
"芸東生コンクリート(株)","5.5.22","5.9.5","四国銀行","野市支店","12173243","",""
"ビルドベース芸西生コン","5.5.25","5.9.30","高知銀行","南支店","11672000","",""
"ビルドベース中芸生コンクリート","5.5.25","5.9.30","高知銀行","南支店","23574000","",""
"高知骨材センター","5.5.31","5.9.30","四国銀行","本店","213538","",""
"芸東生コンクリート(株)","5.6.26","5.10.5","四国銀行","野市支店","15170293","",""
"室戸菱光コンクリート(株)","5.7.20","5.10.20","四国銀行","室戸支店","152575","",""
"ビルドベース芸西生コン","5.6.26","5.10.31","高知銀行","南支店","11596000","",""
"ビルドベース中芸生コンクリート","5.6.26","5.10.31","高知銀行","南支店","27542000","",""
"高知骨材センター","5.6.30","5.10.31","四国銀行","本店","273102","",""
"芸東生コンクリート(株)","5.7.25","5.11.5","四国銀行","野市支店","13767149","",""
"ビルドベース芸西生コン","5.7.25","5.11.30","高知銀行","南支店","14200000","",""
"ビルドベース中芸生コンクリート","5.7.25","5.11.30","高知銀行","南支店","29294000","",""
"高知骨材センター","5.7.31","5.11.30","四国銀行","本店","364394","",""
"(株)北岡工務店","5.7.31","5.11.30","高知銀行","南支店","650000","",""
"合計","","","","","211308996","",""
