"振出人","振出年月日","支払期日","支払銀行名称","金額","割引銀行名及び支店名等","摘要"
"沖縄バス(株)","R5.1.31","R5.6.30","琉球銀行本店","38044340","","3枚"
"(株)琉球リース","R5.2.27","R5.5.31","琉球銀行本店","35641110","","3枚"
"ヤマト生コン(株)","R5.2.28","R5.5.31","沖縄海邦銀行豊見城支店","15040000","","1枚"
"(株)オカノ","R4.12.21","R5.7.21","沖縄銀行新都心支店","4800628","","3枚"
"(株)イチネン","R5.3.20","R5.6.20","住友信託銀行本店","3743810","","1枚"
"(株)石川部品店","R5.2.28","R5.5.31","琉球銀行泊支店","2454724","","2枚"
"(株)ライトモータース","R5.2.20","R5.7.31","琉球銀行浦添支店","1306071","","2枚"
"(有)宮里麗機","R4.11.30","R5.8.1","沖縄海邦銀行やんばる支店","1282000","","4枚"
"(株)大平機械","R5.1.31","R5.4.15","琉球銀行西原支店","1190965","","1枚"
"その他","R4.12.29","R5.7.5","琉球銀行西原支店","1900557","","4枚"
"受取手形計","","","","105404205","",""
"計","","","","105404205","",""
