振出人,振出年月日,支払期日,支払銀行名支店名,金額,割引銀行名及び支店名等,摘要
(株)北海農機,R5・8・31,R6・1・5,北海道銀行芽室支店,271194,,
〃,R5・9・29,R6・2・5,北海道銀行芽室支店,343134,,
(株)ロールクリエート,R5・8・25,R6・1・5,帯広信金芽室支店,1445201,,
〃,R5・9・29,R6・1・20,帯広信金芽室支店,864347,,
(有)中居鉄工場,R5・8・25,R5・11・30,北見信金帯広支店,4968700,,
ヤスダファインテ,R5・8・31,R6・1・5,千葉興銀鴨川支店,1587996,,
(株)渋谷,R5・9・20,R5・12・31,北見信金西支店,287848,,
ビーライト,R5・9・29,R5・12・31,北海道銀行芽室支店,173800,,
サカエ農機(株),R5・8・7,R5・12・5,帯広信金本店,528294,,
(株)コーンズエージー,R5・7・31,R5・11・30,帯広信金北支店,216319,,
(有)中居鉄工場,R5・7・25,R5・10・31,北見信金帯広支店,141284,,
三菱農機販売(有),R5・7・31,R5・11・30,帯広信金北支店,163073,,
手持取立依頼計,,,,10991190,,
ロールクリエート他,,,,8412438,,
裏書譲渡手形計,,,,8412438,,
計,,,,19403628,,
