振出人,振出年月日,支払期日,支払銀行名支店名,金額,割引銀行名及び支店名等,摘要
(株)北海農機,R4・8・31,R5・1・5,北海道銀行芽室支店,495077,,
〃,R4・9・30,R5・2・5,北海道銀行芽室支店,544115,,
(株)東武機械,R4・9・20,R4・12・31,北陸銀行帯広支店,426523,,
(株)ロールクリエート,R4・6・27,R4・11・10,帯広信用金庫芽室支店,804782,,
〃,R4・8・25,R5・1・10,帯広信用金庫芽室支店,544792,,
〃,R4・9・26,R5・1・20,帯広信用金庫芽室支店,437217,,
〃,R4・7・25,R4・12・10,帯広信用金庫芽室支店,475530,,
(株)ヴィエッチ,R4・6・20,R4・11・10,北洋銀行菊水支店,528879,,
〃,R4・7・20,R4・11・5,北洋銀行菊水支店,437320,,
〃,R4・8・22,R4・12・5,北洋銀行菊水支店,541301,,
ビーライト,R4・8・31,R5・1・5,北海道銀行芽室支店,606796,,
〃,R4・7・29,R4・10・31,帯広信用金庫北支店,169125,,
(株)北海農機,R4・7・29,R4・12・5,帯広信用金庫北支店,129074,,
計,,,,6140531,,
(株)ロールクリエイト他,,,,12428409,,
裏書譲渡手形計,,,,12428409,,
計,,,,18568940,,
