"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)双文社印刷","令5.7.10","令5.11.10","みずほ銀行","池袋西口","933460","",""
"(株)太平印刷社","令5.7.31","令5.10.31","三井住友銀行","新橋","929500","",""
"(株)リーブルテック","令5.7.31","令5.9.30","みずほ銀行","王子","1426541","",""
"日本ハイコム(株)","令5.7.31","令5.10.20","八十二銀行","塩尻","548400","",""
"手持手形計","","","","","3837901","",""
"(株)双文社印刷","令5.2.10","令5.8.10","みずほ銀行","池袋西口","1290124","文化産業信用組合/本店",""
"〃","令5.5.10","令5.11.10","〃","〃","838200","〃",""
"(株)新寿堂","令5.4.25","令5.8.10","みずほ銀行","銀座中央","4830640","城北信用金庫/戸田",""
"〃","令5.5.25","令5.9.10","〃","〃","3000000","文化産業信用組合/本店",""
"〃","令5.5.25","令5.9.10","〃","〃","398660","〃",""
"〃","令5.6.25","令5.10.10","〃","〃","2805006","〃",""
"〃","令5.7.25","令5.11.10","〃","〃","5000000","〃",""
"〃","令5.7.25","令5.11.10","〃","〃","1188487","〃",""
"(株)太平印刷社","令5.5.31","令5.8.31","三井住友銀行","新橋","990000","〃",""
"割引手形計","","","","","20341117","",""
"(株)双文社印刷","令5.3.10","令5.9.10","みずほ銀行","池袋西口","2603304","",""
"〃","令5.4.10","令5.10.10","〃","〃","1686740","",""
"〃","令5.6.12","令5.12.10","〃","〃","1295052","",""
"(株)太平印刷社","令5.6.30","令5.9.30","三井住友銀行","新橋","1162700","",""
"(株)シーフォース","令5.5.8","令5.8.15","三菱UFJ","飯田橋","500000","",""
