"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"宮野医療器(株)","5.2.10","5.5.13","三井住友/兵庫","","2936472","",""
"伊勢久(株)","5.2.6","5.6.7","中京/大津町","","479094","",""
"家田化学薬品(株)","5.2.20","5.5.20","三菱UFJ/春日町","","897782","",""
"廣瀬化学薬品(株)","5.2.20","5.5.15","三菱UFJ/三宮","","2155032","",""
"(株)伸和","5.2.20","5.5.20","十六/今池","","219296","",""
"(株)マルキ","5.2.20","5.4.30","りそな/本郷","","159610","",""
"(株)池田理化","5.2.20","5.5.20","三井住友/日本橋","","1333046","",""
"(株)アオバサイエンス","5.2.15","5.5.15","七十七/大学病院前","","137610","",""
"正晃(株)","5.2.15","5.5.10","福岡/箱崎","","23025774","",""
"(株)ムトウ","5.2.15","5.5.10","北海道/札幌駅前","","961802","",""
"(株)イノメディックス","5.2.15","5.5.15","みずほ/本郷","","632632","",""
"(株)江田商会","5.2.20","5.5.20","三井住友/新横浜","","159742","",""
"(株)ユニオン","5.2.20","5.5.10","高崎信金/西","","230340","",""
"アルフレッサ篠原化学(株)","5.2.10","5.5.10","りそな/本郷","","1354034","",""
"宝来メディック(株)","5.2.10","5.5.10","鹿児島/卸本町","","818840","",""
"ケニス(株)","5.2.10","5.5.20","三菱UFJ/天満","","456775","",""
"(株)シバタインテック","5.2.10","5.5.10","岩手/仙台","","186318","",""
"(株)カワニシ","5.2.10","5.5.10","山陰合同/岡山","","1712326","",""
"村中医療器(株)","5.2.20","5.5.23","りそな/北浜","","146256","",""
"和研薬(株)","5.2.20","5.5.10","三井住友/四条","","434148","",""
"京都和光純薬(株)","5.2.28","5.5.31","滋賀/九条","","480920","",""
"アズサイエンス(株)","5.2.17","5.5.16","八十二/南松木","","5548164","",""
"(株)藤原製作所","5.2.28","5.6.30","三菱UFJ/駒込","","246312","",""
"計","","","","","","",""
